2009	90862	BELL, SHELLY L	L	state:lower	NJ-28
2005	90861	BELL, WESLEY K (WES)	L	state:governor	
2009	90320	BELLIN, BARRY	L	state:lower	NJ-37
2003	90864	BENNETT, BOBBI JOAN	L	state:upper	NJ-27
2003	11636	BENNETT, JOHN O	L	state:upper	NJ-12
2005	90863	BENSON, DANIEL R	L	state:lower	NJ-14
2007	90880	BERG, HANS	L	state:upper	NJ-5
2005	11663	BERGEN, BRUCE	L	state:lower	NJ-21
1999	90611	BERKES, MILTON	L	state:lower	NJ-2
1999	90561	BESON, MICHAEL	L	state:lower	NJ-11
2003	90527	BESTWICK, SUSAN	L	state:lower	NJ-3
2011	352224	BHALLA, RAVI S	L	state:lower	NJ-33
2005	2236	BIDWELL & BEATTIE BRACKET			
1997	90443	BIGLOWARCZUK, DEBBIE	L	state:lower	NJ-19
2011	10782	BILLHIMER KEARNEY & RYAN BRACKET			
2007	3127	BIONDI & COYLE BRACKET			
2005	3974	BIONDI, PETE	W	state:lower	NJ-16
2011	3974	BIONDI, PETER J	W	state:lower	NJ-16
2009	3978	BISHOP & BOLGER BRACKET			
2009	90873	BISHOP, J RANDY	L	state:lower	NJ-11
1999	90872	BITTNER, MARY DARCY	L	state:lower	NJ-1
2001	90877	BIVIANO, LANE J	L	state:upper	NJ-36
2003	90875	BLANEY, JAMES M	L	state:upper	NJ-10
2005	2237	BLEE & CONOVER BRACKET			
1999	2076	BLEE, FRANCIS J	W	state:lower	NJ-2
2003	2076	BLEE, FRANK	W	state:lower	NJ-2
2009	3986	BLOSCHAK & GLENN BRACKET			
2007	3128	BODINE RILEY & FIFIS BRACKET			
2003	746	BODINE, FRANCIS L	W	state:lower	NJ-8
1999	90790	BOHAN, RICHARD J	L	state:lower	NJ-37
2009	90802	BOLGER, RICHARD J	L	state:lower	NJ-11
2009	90549	BOSS, JEFF	L	state:governor	
2011	352243	BOYCE, PETER F	L	state:lower	NJ-1
2003	90838	BRADLEY, MICHAEL	L	state:lower	NJ-40
2005	6402	BRAMNICK, JON	W	state:lower	NJ-21
2007	6402	BRAMNICK, JON M	W	state:lower	NJ-21
2001	90842	BRANCH SR, TOM	L	state:lower	NJ-11
1997	90836	BRENYCZ, EUGENE	L	state:lower	NJ-28
2001	90839	BRODERICK, MICHAEL L	L	state:lower	NJ-30
1997	90462	BRODERICK, ROBERT P	L	state:upper	NJ-7
2009	3884	BROWN & SARCONE BRACKET			
2007	3129	BROWN ENGLAND & SINAGRA BRACKET			
2005	90053	BROWN III, CHAUNCEY I	L	state:lower	NJ-35
2011	352247	BROWN, CHRIS	W	state:lower	NJ-2
2011	412880	BROWN, CHRISTOPHER J	W	state:lower	NJ-8
2007	12126	BROWN, ROBERT (BOB)	L	state:lower	NJ-13
2003	90189	BROWN, THERESA D	W	state:lower	NJ-7
2001	90857	BROWN, WILLIE B	L	state:upper	NJ-28
2007	90849	BRYANT, SYLVESTER BOBBY	L	state:lower	NJ-15
2001	747	BRYANT, WAYNE R	W	state:upper	NJ-5
2011	10783	BUCCO & BUCCO BRACKET			
2009	3885	BUCCO & CARROLL BRACKET			
2007	748	BUCCO, ANTHONY	W	state:upper	NJ-25
2011	1418818	BUCCO, ANTHONY M	W	state:lower	NJ-25
2005	748	BUCCO, ANTHONY R		state:upper	NJ-25
1999	90848	BUDZASH, JOHN L	L	state:lower	NJ-12
2011	10784	BUONO DIEGNAN & BARNES BRACKET			
2001	749	BUONO, BARBARA	W	state:upper	NJ-18
2005	2239	BURZICHELLI & FISHER BRACKET			
2009	3979	BURZICHELLI & RILEY BRACKET			
2005	3741	BURZICHELLI, JOHN	W	state:lower	NJ-3
1999	3741	BURZICHELLI, JOHN J	L	state:lower	NJ-3
2007	90304	BUSHMAN, ADAM	L	state:lower	NJ-14
1999	90723	BUTCHKO, MICHAEL	L	state:lower	NJ-26
2009	12293	CABANA, DOUGLAS R	L	state:lower	NJ-25
