1997	90185	MCGLYNN, MICHAEL B	L
1997	90196	MIKULAK, STEPHEN A	L
1997	90202	GOMEZ, FREDDY	L
1997	90204	MECCA, JOSEPH A	L
1997	90209	WILLIAMS, GEORGE	L
1997	90215	MAHER, DENNIS	L
1997	90231	LYNCH, JOHN	W
1997	90234	MARSELLA, ANTHONY S	L
1997	90246	MARGETIS, JIM	L
1997	90254	OBRIEN, MARY DEVON	L
1997	90269	MURPHY, MICHAEL	L
1997	90275	MASON, PHYLLIS A	L
1997	90276	WAKS, JOAN	L
1997	90278	KLATTENBERG, RICHARD R	L
1997	90286	FAMULARO, JAMES 0	L
1997	90332	ODONNELL, ROB	L
1997	90333	HERSHOOPF, GAYLE	L
1997	90334	CATANIA, FRANK	L
1997	90336	HERNANDEZ, E IRIS	L
1997	90352	IGNATOFF, MITCHELL E	L
1997	90375	GRAVES, KAROLE A	L
1997	90386	LEVINE, DANIEL B	L
1997	90394	SIVELLA, DAVID	L
1997	90400	RANSAVAGE, SHARON B	L
1997	90404	SUPLEE, MEL	L
1997	90408	SPIKE, GERALD	L
1997	90415	GREENSPAN, MICHAEL	L
1997	90440	SINAGRA, JACK G	W
1997	90441	SHUSTED, THOMAS	L
1997	90443	BIGLOWARCZUK, DEBBIE	L
1997	90444	SCOTT, JOHN P	L
1997	90451	SEGARRA SMITH, DIANA	L
1997	90462	BRODERICK, ROBERT P	L
1997	90472	WEBSTER STANSBURY, WANDA	L
1997	90492	MINUTOLO, NICHOLAS	L
1997	90498	WHITMAN, CHRISTINE T	W
1997	90499	WILKINS, CHANNELL	L
1997	90514	LUBY, JOHN	L
1997	90523	BARNES, JOHN P	L
1997	90532	LUGOSSY, GILBERT W	L
1997	90548	PATERNITI, THOMAS H	L
1997	90592	MIRONOV, JANICE S	L
1997	90594	MONDGOCK, BOB	L
1997	90598	MOONEY, THOMAS	L
1997	90602	OCONNOR, EDWARD T	W
1997	90603	OKEEFE, BETTE	L
1997	90614	OBRIEN, KENNEDY	L
1997	90629	ROSE, SUSAN R	L
1997	90638	LEONE, JUDITH G	L
1997	90639	TOTO, THOMAS J	L
1997	90656	RAUH, JOHN	L
1997	90664	HARRIS, LILLIAN	L
1997	90667	DONOVAN, MATTHEW	L
1997	90679	POTTER, GREGORY	L
1997	90690	RINK, HARRY L	L
1997	90703	ROCCO, JOHN A	L
1997	90709	DADAMO, AMADEO	L
1997	90711	LIPMAN, WYNONA	W
1997	90725	CALANDRILLO, REGINA	L
1997	90727	CAFFREY, MIKE	L
1997	90741	DALTON, SEAN F	L
1997	90770	COMEY, J MARTIN	L
1997	90789	AULT, MARGARET	L
1997	90791	ZIMMERMANN, BILL	L
1997	90814	ARONSON, ERIC S	L
1997	90818	ABRAHAM, JOHN	L
1997	90825	ALVAREZ, MICAELA	L
1997	90829	ANDREWS, ROBERT E	L
1997	90836	BRENYCZ, EUGENE	L
1997	90852	BARON, ANDREW	L
1997	90868	BASSANO, C LOUIS	W
1997	90876	SHESTACK, ROBERT S	L
1997	90906	DEMARSE, MICHAEL PAUL	L
1997	90907	DIMARIA, JOHN	L
1997	90920	DRESSEL, FRED	L
1997	90923	DUNCAN, BRIAN A	L
1997	90926	DOWNING, BETTYJEAN	L
1997	90932	MACINNES, GORDON	L
1999	11267	ARNONE, MICHAEL J	W
1999	11311	AUGUSTINE, ALAN M	W
1999	11325	AZZOLINA, JOSEPH	W
1999	11358	BAGGER, RICHARD H	W
1999	12423	CARLAMERE, DAVID	L
1999	12586	CHARLES, JOSEPH	W
1999	12799	WATSON COLEMAN, BONNIE	W
1999	12818	COLLINS, JACK	W
1999	12949	COTTRELL, MELVIN	W
1999	13007	CRECCO, MARION	W
1999	13275	DELVECCHIO, FRANK	L
1999	13376	DIGAETANO, PAUL	W
1999	13771	FARRAGHER, CLARE M	W
1999	13799	FELICE, NICHOLAS R	W
1999	139248	ZECKER, GERALD H	W
1999	139336	ZISA, CHARLES	W
1999	14050	FRISCIA, ARLINE M	W
1999	14148	GARCIA, RAUL	W
1999	14175	GARRETT, E SCOTT	W
1999	14213	GEIST, GEORGE F	W
